Level,Group,Task,Model,Metric,Unit,AvailableFlightCount,MissingFlightCount,MeanOfFlightMetric,StdOfFlightMetric,MinFlightMetric,MaxFlightMetric,P50FlightMetric,P90FlightMetric,P95FlightMetric,Status
flight,const4-trial1-traj1,tdoa,raw,rmse_m,m,1,0,0.1701,0,0.1701,0.1701,0.1701,0.1701,0.1701,available
flight,const4-trial1-traj1,tdoa,fnn,rmse_m,m,1,0,0.1494,0,0.1494,0.1494,0.1494,0.1494,0.1494,available
flight,const4-trial1-traj1,tdoa,cnn1,rmse_m,m,1,0,0.1366,0,0.1366,0.1366,0.1366,0.1366,0.1366,available
flight,const4-trial1-traj1,tdoa,cnn2,rmse_m,m,1,0,0.1465,0,0.1465,0.1465,0.1465,0.1465,0.1465,available
flight,const4-trial1-traj1,tdoa,raw,mae_m,m,1,0,0.1395,0,0.1395,0.1395,0.1395,0.1395,0.1395,available
flight,const4-trial1-traj1,tdoa,fnn,mae_m,m,1,0,0.1126,0,0.1126,0.1126,0.1126,0.1126,0.1126,available
flight,const4-trial1-traj1,tdoa,cnn1,mae_m,m,1,0,0.1008,0,0.1008,0.1008,0.1008,0.1008,0.1008,available
flight,const4-trial1-traj1,tdoa,cnn2,mae_m,m,1,0,0.108,0,0.108,0.108,0.108,0.108,0.108,available
flight,const4-trial1-traj1,position,raw,rmse_m,m,1,0,0.3412,0,0.3412,0.3412,0.3412,0.3412,0.3412,available
flight,const4-trial1-traj1,position,fnn,rmse_m,m,1,0,0.1499,0,0.1499,0.1499,0.1499,0.1499,0.1499,available
flight,const4-trial1-traj1,position,cnn1,rmse_m,m,1,0,0.1186,0,0.1186,0.1186,0.1186,0.1186,0.1186,available
flight,const4-trial1-traj1,position,cnn2,rmse_m,m,1,0,0.1279,0,0.1279,0.1279,0.1279,0.1279,0.1279,available
flight,const4-trial1-traj1,position,raw,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial1-traj1,position,fnn,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial1-traj1,position,cnn1,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial1-traj1,position,cnn2,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial1-traj2,tdoa,raw,rmse_m,m,1,0,0.6573,0,0.6573,0.6573,0.6573,0.6573,0.6573,available
flight,const4-trial1-traj2,tdoa,fnn,rmse_m,m,1,0,0.3063,0,0.3063,0.3063,0.3063,0.3063,0.3063,available
flight,const4-trial1-traj2,tdoa,cnn1,rmse_m,m,1,0,0.2463,0,0.2463,0.2463,0.2463,0.2463,0.2463,available
flight,const4-trial1-traj2,tdoa,cnn2,rmse_m,m,1,0,0.1716,0,0.1716,0.1716,0.1716,0.1716,0.1716,available
flight,const4-trial1-traj2,tdoa,raw,mae_m,m,1,0,0.1367,0,0.1367,0.1367,0.1367,0.1367,0.1367,available
flight,const4-trial1-traj2,tdoa,fnn,mae_m,m,1,0,0.129,0,0.129,0.129,0.129,0.129,0.129,available
flight,const4-trial1-traj2,tdoa,cnn1,mae_m,m,1,0,0.112,0,0.112,0.112,0.112,0.112,0.112,available
flight,const4-trial1-traj2,tdoa,cnn2,mae_m,m,1,0,0.1219,0,0.1219,0.1219,0.1219,0.1219,0.1219,available
flight,const4-trial1-traj2,position,raw,rmse_m,m,1,0,0.2474,0,0.2474,0.2474,0.2474,0.2474,0.2474,available
flight,const4-trial1-traj2,position,fnn,rmse_m,m,1,0,0.3625,0,0.3625,0.3625,0.3625,0.3625,0.3625,available
flight,const4-trial1-traj2,position,cnn1,rmse_m,m,1,0,0.2504,0,0.2504,0.2504,0.2504,0.2504,0.2504,available
flight,const4-trial1-traj2,position,cnn2,rmse_m,m,1,0,0.222,0,0.222,0.222,0.222,0.222,0.222,available
flight,const4-trial1-traj2,position,raw,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial1-traj2,position,fnn,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial1-traj2,position,cnn1,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial1-traj2,position,cnn2,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial1-traj3,tdoa,raw,rmse_m,m,1,0,0.1733,0,0.1733,0.1733,0.1733,0.1733,0.1733,available
flight,const4-trial1-traj3,tdoa,fnn,rmse_m,m,1,0,0.1638,0,0.1638,0.1638,0.1638,0.1638,0.1638,available
flight,const4-trial1-traj3,tdoa,cnn1,rmse_m,m,1,0,0.1474,0,0.1474,0.1474,0.1474,0.1474,0.1474,available
flight,const4-trial1-traj3,tdoa,cnn2,rmse_m,m,1,0,0.1631,0,0.1631,0.1631,0.1631,0.1631,0.1631,available
flight,const4-trial1-traj3,tdoa,raw,mae_m,m,1,0,0.1388,0,0.1388,0.1388,0.1388,0.1388,0.1388,available
flight,const4-trial1-traj3,tdoa,fnn,mae_m,m,1,0,0.1197,0,0.1197,0.1197,0.1197,0.1197,0.1197,available
flight,const4-trial1-traj3,tdoa,cnn1,mae_m,m,1,0,0.1054,0,0.1054,0.1054,0.1054,0.1054,0.1054,available
flight,const4-trial1-traj3,tdoa,cnn2,mae_m,m,1,0,0.116,0,0.116,0.116,0.116,0.116,0.116,available
flight,const4-trial1-traj3,position,raw,rmse_m,m,1,0,0.3016,0,0.3016,0.3016,0.3016,0.3016,0.3016,available
flight,const4-trial1-traj3,position,fnn,rmse_m,m,1,0,0.2703,0,0.2703,0.2703,0.2703,0.2703,0.2703,available
flight,const4-trial1-traj3,position,cnn1,rmse_m,m,1,0,0.1918,0,0.1918,0.1918,0.1918,0.1918,0.1918,available
flight,const4-trial1-traj3,position,cnn2,rmse_m,m,1,0,0.1866,0,0.1866,0.1866,0.1866,0.1866,0.1866,available
flight,const4-trial1-traj3,position,raw,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial1-traj3,position,fnn,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial1-traj3,position,cnn1,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial1-traj3,position,cnn2,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial2-traj1,tdoa,raw,rmse_m,m,1,0,0.1914,0,0.1914,0.1914,0.1914,0.1914,0.1914,available
flight,const4-trial2-traj1,tdoa,fnn,rmse_m,m,1,0,0.1581,0,0.1581,0.1581,0.1581,0.1581,0.1581,available
flight,const4-trial2-traj1,tdoa,cnn1,rmse_m,m,1,0,0.1398,0,0.1398,0.1398,0.1398,0.1398,0.1398,available
flight,const4-trial2-traj1,tdoa,cnn2,rmse_m,m,1,0,0.1527,0,0.1527,0.1527,0.1527,0.1527,0.1527,available
flight,const4-trial2-traj1,tdoa,raw,mae_m,m,1,0,0.1572,0,0.1572,0.1572,0.1572,0.1572,0.1572,available
flight,const4-trial2-traj1,tdoa,fnn,mae_m,m,1,0,0.1196,0,0.1196,0.1196,0.1196,0.1196,0.1196,available
flight,const4-trial2-traj1,tdoa,cnn1,mae_m,m,1,0,0.104,0,0.104,0.104,0.104,0.104,0.104,available
flight,const4-trial2-traj1,tdoa,cnn2,mae_m,m,1,0,0.1112,0,0.1112,0.1112,0.1112,0.1112,0.1112,available
flight,const4-trial2-traj1,position,raw,rmse_m,m,1,0,0.4109,0,0.4109,0.4109,0.4109,0.4109,0.4109,available
flight,const4-trial2-traj1,position,fnn,rmse_m,m,1,0,0.1433,0,0.1433,0.1433,0.1433,0.1433,0.1433,available
flight,const4-trial2-traj1,position,cnn1,rmse_m,m,1,0,0.1945,0,0.1945,0.1945,0.1945,0.1945,0.1945,available
flight,const4-trial2-traj1,position,cnn2,rmse_m,m,1,0,0.1481,0,0.1481,0.1481,0.1481,0.1481,0.1481,available
flight,const4-trial2-traj1,position,raw,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
