Flight,Constellation,Trial,Trajectory,Model,Task,Metric,Value,Unit,Status,SourceArtifact
const4-trial1-traj1,const4,trial1,traj1,raw,tdoa,rmse_m,0.1701,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial1-traj1,const4,trial1,traj1,fnn,tdoa,rmse_m,0.1494,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial1-traj1,const4,trial1,traj1,cnn1,tdoa,rmse_m,0.1366,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial1-traj1,const4,trial1,traj1,cnn2,tdoa,rmse_m,0.1465,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial1-traj2,const4,trial1,traj2,raw,tdoa,rmse_m,0.6573,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial1-traj2,const4,trial1,traj2,fnn,tdoa,rmse_m,0.3063,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial1-traj2,const4,trial1,traj2,cnn1,tdoa,rmse_m,0.2463,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial1-traj2,const4,trial1,traj2,cnn2,tdoa,rmse_m,0.1716,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial1-traj3,const4,trial1,traj3,raw,tdoa,rmse_m,0.1733,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial1-traj3,const4,trial1,traj3,fnn,tdoa,rmse_m,0.1638,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
